model,constraint,renorm,cost_bps,n_days,mean_ret,std_ret,ann_sharpe_like,max_drawdown_like,positive_day_ratio,turnover_mean,avg_n_holding,kept_ratio_rows,delta_mean_ret_vs_base5,delta_ann_sharpe_vs_base5,delta_maxdd_vs_base5,delta_positive_vs_base5,ann_ret_like,paper_interpretation,gate_mean
V2X-B Cross Action Admission,amount_held_top70pct_no_renorm,False,5,557,0.0125906521212717,0.0529767789459961,1.6872441990908098,-0.5776177287590203,0.5368043087971275,0.1953381764152381,22.0,0.7333333333333333,-0.0286437470709872,-1.4182462825034905,-0.0233490320561654,-0.0825852782764811,,Liquidity filter exposes a capacity trade-off: stricter liquidity constraints reduce return and breadth.,
V2X-B Cross Action Admission,amount_held_top60pct_no_renorm,False,5,557,0.010661939835903,0.0454254720512348,1.66629559660126,-0.4369672240199566,0.5314183123877917,0.157114644899974,19.0,0.6333333333333333,-0.0305724593563559,-1.43919488499304,0.1173014726828982,-0.0879712746858168,,Liquidity filter exposes a capacity trade-off: stricter liquidity constraints reduce return and breadth.,
V2X-B Cross Action Admission,amount_held_top50pct_no_renorm,False,5,557,0.0084563040642959,0.0403113827519857,1.4892519015111885,-0.4846226003020838,0.5170556552962298,0.1254144917153848,16.0,0.5333333333333333,-0.032778095127963,-1.6162385800831116,0.069646096400771,-0.1023339317773788,,Liquidity filter exposes a capacity trade-off: stricter liquidity constraints reduce return and breadth.,
V2X-B Cross Action Admission,exclude_limit_up_est_renorm,True,5,557,0.0195017441377265,0.0812622118455252,1.7037273036025824,-0.6355946961259932,0.5727109515260324,0.7251211536920972,19.201077199281865,0.6400359066427289,-0.0217326550545324,-1.4017631779917177,-0.0813259994231383,-0.0466786355475762,,"Removing limit-up-estimated candidates destroys much of the alpha, showing that A-share short-horizon opportunities concentrate around strong limit-up states.",
V2X-B Cross Action Admission,exclude_limit_down_est_renorm,True,5,557,0.0413278272188278,0.0942147982082238,3.1141442032804294,-0.5418990557216277,0.6193895870736086,0.7272895604549978,29.833034111310592,0.9944344703770196,9.342802656888556e-05,0.0086537216861293,0.0123696409812271,0.0,,"Removing limit-down-estimated candidates has little impact, suggesting the strategy is not driven by naive limit-down reversal.",
V2X-B Cross Action Admission,exclude_broken_limit_est_renorm,True,5,557,0.0414240654869803,0.0940979837373762,3.125270913893627,-0.553985300406306,0.6193895870736086,0.7272895604549978,29.81149012567325,0.9937163375224416,0.0001896662947213,0.0197804322993269,0.0002833962965488,0.0,,"Broken-limit filtering has limited effect, supporting that the main signal is strong-state continuation rather than broken-board noise.",
V2X-B Cross Action Admission,exclude_any_limit_est_renorm,True,5,557,0.0195972577990079,0.0809286671270512,1.7191278905229763,-0.6252536603200622,0.5691202872531418,0.7221454059923764,18.84560143626571,0.6281867145421903,-0.021637141393251,-1.3863625910713238,-0.0709849636172074,-0.0502692998204667,,,
V2X-B Cross Action Admission,amount_held_top90pct_renorm,True,5,557,0.0326920456583148,0.0938361122885998,2.4733601467685142,-0.585508993925093,0.5601436265709157,0.7272895604549978,28.0,0.9333333333333332,-0.008542353533944,-0.6321303348257858,-0.0312402972222382,-0.0592459605026929,,Liquidity filter exposes a capacity trade-off: stricter liquidity constraints reduce return and breadth.,
V2X-B Cross Action Admission,amount_held_top80pct_renorm,True,5,557,0.0277201657856414,0.0906817575238113,2.1701570441274134,-0.6383948345344117,0.5565529622980251,0.7272895604549978,25.0,0.8333333333333334,-0.0135142334066175,-0.9353334374668868,-0.0841261378315568,-0.0628366247755835,,Liquidity filter exposes a capacity trade-off: stricter liquidity constraints reduce return and breadth.,
V2X-B Cross Action Admission,amount_held_top70pct_renorm,True,5,557,0.0227254319536435,0.0873882476183754,1.846181456281052,-0.7022424029956857,0.5368043087971275,0.7272895604549978,22.0,0.7333333333333333,-0.0185089672386154,-1.2593090253132482,-0.1479737062928309,-0.0825852782764811,,Liquidity filter exposes a capacity trade-off: stricter liquidity constraints reduce return and breadth.,
V2X-B Cross Action Admission,amount_held_top60pct_renorm,True,5,557,0.0224907797978189,0.0910383230113448,1.7538624605373592,-0.5710152670772173,0.5296229802513465,0.7272895604549978,19.0,0.6333333333333333,-0.01874361939444,-1.351628021056941,-0.0167465703743624,-0.0897666068222621,,Liquidity filter exposes a capacity trade-off: stricter liquidity constraints reduce return and breadth.,
V2X-B Cross Action Admission,amount_held_top50pct_renorm,True,5,557,0.020921016170721,0.0927923641745451,1.6006110232348858,-0.6886474147024746,0.5152603231597845,0.7272895604549978,16.0,0.5333333333333333,-0.0203133830215379,-1.5048794583594145,-0.1343787179996197,-0.104129263913824,,Liquidity filter exposes a capacity trade-off: stricter liquidity constraints reduce return and breadth.,
V2X-B Cross Action Admission,delay1_return_sequence_stress,False,5,556,0.0412967927381142,0.0942522528508794,3.110569093881652,-0.5542686967028548,0.6187050359712231,0.7272895604549978,30.0,1.0,6.239354585523688e-05,0.0022871596054887,0.0,-0.0006845511023855,2.081358354000957,"One-day return-sequence delay stress; conservative timing robustness check, not a full ledger-level delayed execution simulation.",
V2X-RL+ five-level exposure,delay1_return_sequence_stress,False,5,556,0.041044077521064,0.0867774352503575,3.357831950690775,-0.2896831936804759,0.6187050359712231,,,1.0,6.193983810469372e-05,0.0025296506180891,0.0,-0.0006845511023855,2.0686215070616263,"One-day return-sequence delay stress; conservative timing robustness check, not a full ledger-level delayed execution simulation.",
SPD-Riemannian PPO Gate,delay1_Tplus1,False,5,556,0.050278753503697295,0.08473682129301546,4.212380581434775,-0.1589302367619141,0.6187050359712231,,,1.0,,,,,2.5340491765863438,T+1 delayed base action-admission returns rescaled by the frozen SPD-Riemannian PPO exposure gate.,0.7586330935251799
